name,category_id,standing,nothing,moving,empty
S9_Q05_R3_IMAG0288.JPG,14,1,0,0,0
S7_M05_R2_IMAG1994.JPG,7,0,0,1,0
S8_K09_R3_IMAG2313.JPG,18,1,0,0,0
S7_D03_R2_IMAG1215.JPG,17,0,0,1,0
S1_G09_R1_PICT0086.JPG,11,1,0,0,0
S7_R06_R3_IMAG0212.JPG,16,0,0,1,0
SER_S11_I03_R2_IMAG7688.JPG,1,1,0,0,0
S5_Q13_R2_IMAG5645.JPG,5,0,1,0,1
S5_C13_R2_IMAG0857.JPG,1,0,0,1,0
S2_H07_R3_PICT3313.JPG,14,0,0,1,0
SER_S11_M09_R1_IMAG3954.JPG,11,1,0,0,0
S4_E05_R2_IMAG2288.JPG,0,0,0,1,0
S4_U13_R2_IMAG2441.JPG,14,0,0,1,0
S8_B09_R2_IMAG0077.JPG,18,0,0,1,0
S5_L01_R1_IMAG0114.JPG,18,1,0,0,0
S7_R12_R2_IMAG5395.JPG,13,1,0,0,0
S8_C02_R2_IMAG0635.JPG,1,1,0,0,0
S9_K06_R3_IMAG0469.JPG,19,0,0,1,0
S4_Q07_R2_IMAG0116.JPG,18,1,0,0,0
S8_M04_R1_IMAG3454.JPG,7,1,0,0,0
SER_S11_J10_R1_IMAG0954.JPG,13,1,0,0,0
S9_E06_R3_IMAG2752.JPG,0,0,0,1,0
S10_N06_R1_IMAG1488.JPG,13,0,0,1,0
S2_P11_R3_PICT1030.JPG,6,1,0,0,0
S6_E02_R2_IMAG0560.JPG,12,0,0,1,0
S7_E01_R2_IMAG0026.JPG,0,0,0,1,0
S4_H07_R2_IMAG0424.JPG,10,1,0,0,0
SER_S11_L07_R1_IMAG0880.JPG,3,0,0,1,0
S5_M04_R2_IMAG0080.JPG,0,0,0,1,0
S1_H06_R3_PICT0558.JPG,13,1,0,0,0
S5_T10_R3_IMAG0153.JPG,17,1,0,0,0
S5_U10_R2_IMAG0102.JPG,6,0,0,1,0
SER_S11_J09_R1_IMAG0620.JPG,4,1,0,0,0
S2_Q09_R3_IMAG0533.JPG,13,1,0,0,0
S3_E04_R12_IMAG0096.JPG,17,1,0,0,0
S1_H06_R3_PICT0502.JPG,13,1,0,0,0
S2_I06_R1_PICT0011.JPG,9,1,0,0,0
S7_U11_R1_IMAG0176.JPG,3,1,0,0,0
S8_H02_R3_IMAG1223.JPG,1,0,0,1,0
S7_M04_R2_IMAG0093.JPG,1,0,0,1,0
S7_L10_R3_IMAG0289.JPG,14,0,0,1,0
S1_I07_R1_PICT1375.JPG,7,0,0,1,0
S5_E05_R4_IMAG0313.JPG,0,0,0,1,0
S5_I12_R1_IMAG0183.JPG,4,0,0,1,0
S6_D02_R1_IMAG0580.JPG,0,0,0,1,0
S2_G05_R2_IMAG0458.JPG,11,0,0,1,0
S5_E13_R2_IMAG0439.JPG,2,1,0,0,0
S7_P10_R1_IMAG0697.JPG,3,1,0,0,0
S7_P07_R3_IMAG2043.JPG,20,1,0,0,0
S4_C13_R2_IMAG0065.JPG,4,0,0,1,0
S7_O11_R2_IMAG0349.JPG,9,0,0,1,0
S5_D02_R2_IMAG0256.JPG,7,0,0,1,0
S6_J09_R2_IMAG0243.JPG,4,1,0,0,0
S2_F04_R2_IMAG0206.JPG,6,0,0,1,0
S9_L11_R2_IMAG0268.JPG,4,1,0,0,0
S8_J09_R3_IMAG1356.JPG,4,1,0,0,0
S4_F01_R1_IMAG0646.JPG,0,1,0,0,0
S8_P05_R3_IMAG1074.JPG,18,1,0,0,0
S7_L06_R3_IMAG0055.JPG,11,0,0,1,0
S5_F03_R1_IMAG1045.JPG,1,0,0,1,0
S5_E08_R1_IMAG0385.JPG,17,1,0,0,0
S1_D12_R1_PICT0080.JPG,8,0,0,1,0
SER_S11_E09_R1_IMAG0442.JPG,17,1,0,0,0
S9_H08_R2_IMAG1829.JPG,20,1,0,0,0
S9_U11_R1_IMAG0034.JPG,3,1,0,0,0
SER_S11_M07_R1_IMAG0070.JPG,15,0,0,1,0
S9_F09_R2_IMAG1785.JPG,15,0,0,1,0
S1_I05_R2_PICT0409.JPG,8,1,0,0,0
S6_L04_R1_IMAG0968.JPG,18,0,0,1,0
S2_O10_R1_IMAG0169.JPG,14,0,0,1,0
S6_U10_R1_IMAG0809.JPG,3,0,0,1,0
S1_I13_R1_PICT1234.JPG,13,0,0,1,0
S2_L10_R1_PICT0034.JPG,2,0,0,1,0
S5_D04_R1_IMAG0380.JPG,4,0,0,1,0
S7_N08_R3_IMAG1482.JPG,9,1,0,0,0
S8_P07_R2_IMAG3321.JPG,16,1,0,0,0
S5_M03_R3_IMAG0118.JPG,4,0,0,1,0
S9_F10_R1_IMAG0781.JPG,13,1,0,0,0
S3_J04_R12_IMAG0024.JPG,17,1,0,0,0
S5_P05_R2_IMAG0126.JPG,2,1,0,0,0
S3_I04_R11_IMAG0753.JPG,7,1,0,0,0
S10_F10_R1_IMAG0369.JPG,9,0,0,1,0
S1_N10_R1_PICT0101.JPG,15,1,0,0,0
S7_I06_R3_IMAG0830.JPG,7,0,0,1,0
S7_L02_R1_IMAG1300.JPG,5,0,1,0,1
S2_U11_R1_IMAG0207.JPG,10,0,0,1,0
S9_Q05_R3_IMAG0291.JPG,14,1,0,0,0
S8_S07_R2_IMAG0169.JPG,20,1,0,0,0
S4_H07_R1_IMAG2139.JPG,10,1,0,0,0
S9_M09_R1_IMAG1291.JPG,14,0,0,1,0
S8_D11_R3_IMAG5070.JPG,1,0,0,1,0
S9_S09_R3_IMAG0492.JPG,17,1,0,0,0
S7_Q08_R4_IMAG0983.JPG,10,1,0,0,0
S1_H06_R3_PICT0035.JPG,11,0,0,1,0
S4_P10_R1_IMAG0534.JPG,3,1,0,0,0
S8_J12_R1_IMAG0035.JPG,18,1,0,0,0
S2_M07_R2_IMAG0796.JPG,3,1,0,0,0
S3_K05_R11_IMAG0386.JPG,3,0,0,1,0
S9_P13_R1_IMAG0292.JPG,2,0,0,1,0
S5_D13_R1_IMAG0104.JPG,19,1,0,0,0
S9_I06_R1_IMAG0240.JPG,7,1,0,0,0
S1_E08_R2_PICT1393.JPG,6,0,0,1,0
S5_B13_R3_IMAG3192.JPG,9,1,0,0,0
S7_S09_R3_IMAG0773.JPG,6,1,0,0,0
S2_E09_R3_IMAG0383.JPG,14,1,0,0,0
S2_N08_R4_IMAG0686.JPG,2,1,0,0,0
S5_P10_R2_IMAG0961.JPG,5,0,1,0,1
S3_K07_R11_IMAG0438.JPG,3,0,0,1,0
S8_G09_R3_IMAG2331.JPG,9,1,0,0,0
S8_D08_R3_IMAG1546.JPG,5,0,1,0,1
S4_J12_R1_IMAG0051.JPG,9,1,0,0,0
S8_H05_R2_IMAG4306.JPG,16,0,0,1,0
S1_H06_R3_PICT0619.JPG,13,1,0,0,0
S4_C07_R2_IMAG2699.JPG,12,1,0,0,0
S1_I13_R1_PICT1233.JPG,13,0,0,1,0
S8_C11_R2_IMAG0322.JPG,12,1,0,0,0
S4_I10_R2_IMAG0905.JPG,16,0,0,1,0
SER_S11_M09_R2_IMAG3078.JPG,13,1,0,0,0
S6_N05_R1_IMAG0030.JPG,18,0,0,1,0
S4_O06_R1_IMAG0264.JPG,20,1,0,0,0
S7_C07_R1_IMAG1808.JPG,2,0,0,1,0
S4_C13_R1_IMAG4745.JPG,12,1,0,0,0
S8_O10_R1_IMAG0170.JPG,14,0,0,1,0
S10_P11_R1_IMAG0067.JPG,15,0,0,1,0
SER_S11_K10_R1_IMAG0150.JPG,4,1,0,0,0
S8_P13_R2_IMAG1061.JPG,4,1,0,0,0
S6_C03_R2_IMAG0112.JPG,8,1,0,0,0
S7_S11_R1_IMAG0665.JPG,6,0,0,1,0
S6_O06_R1_IMAG0478.JPG,17,0,0,1,0
S2_P11_R3_PICT0057.JPG,15,0,0,1,0
S9_C01_R3_IMAG1643.JPG,18,0,0,1,0
S5_T10_R3_IMAG0018.JPG,18,0,0,1,0
S4_M13_R2_IMAG1083.JPG,19,0,0,1,0
S3_K07_R11_IMAG0390.JPG,14,0,0,1,0
S9_E02_R2_IMAG0416.JPG,0,0,0,1,0
S5_B10_R2_IMAG0141.JPG,17,1,0,0,0
S5_B07_R1_IMAG3724.JPG,7,1,0,0,0
S5_H06_R2_IMAG2636.JPG,11,0,0,1,0
S8_C05_R1_IMAG0212.JPG,7,1,0,0,0
S7_P10_R3_IMAG0904.JPG,14,0,0,1,0
S2_I09_R3_PICT3698.JPG,16,1,0,0,0
S8_E10_R2_IMAG0023.JPG,18,0,0,1,0
S5_Q04_R3_IMAG0350.JPG,20,1,0,0,0
S6_H07_R2_IMAG0782.JPG,9,1,0,0,0
S6_I12_R1_IMAG0169.JPG,2,0,0,1,0
S8_F06_R3_IMAG0024.JPG,8,0,0,1,0
S3_N06_R11_IMAG0298.JPG,14,1,0,0,0
S7_L05_R3_IMAG0189.JPG,17,0,0,1,0
S7_H06_R3_IMAG0906.JPG,16,0,0,1,0
S4_H07_R1_IMAG1555.JPG,10,1,0,0,0
S1_J04_R3_PICT2064.JPG,7,0,0,1,0
S7_E09_R2_IMAG3768.JPG,11,0,0,1,0
S7_E05_R3_IMAG0033.JPG,8,0,0,1,0
S10_P05_R1_IMAG0419.JPG,15,0,0,1,0
S8_J09_R3_IMAG1585.JPG,14,0,0,1,0
S2_E06_R3_IMAG4015.JPG,19,0,0,1,0
S6_F05_R1_IMAG1806.JPG,16,1,0,0,0
S10_E13_R2_IMAG5817.JPG,5,0,1,0,1
SER_S11_M09_R1_IMAG3010.JPG,18,0,0,1,0
S9_F04_R3_IMAG1141.JPG,17,1,0,0,0
S1_R09_R1_PICT1111.JPG,7,1,0,0,0
S7_E02_R1_IMAG0104.JPG,11,0,0,1,0
S2_H07_R2_PICT0049.JPG,10,1,0,0,0
S7_P13_R1_IMAG1585.JPG,4,1,0,0,0
S1_N10_R1_PICT0051.JPG,2,1,0,0,0
S7_P07_R3_IMAG1192.JPG,6,1,0,0,0
S1_Q09_R1_PICT0201.JPG,14,1,0,0,0
SER_S11_E13_R1_IMAG0144.JPG,2,1,0,0,0
SER_S11_E05_R2_IMAG0772.JPG,0,0,0,1,0
S3_M08_R11_IMAG0953.JPG,15,1,0,0,0
S4_H07_R2_IMAG4490.JPG,10,1,0,0,0
S7_H08_R1_IMAG0787.JPG,19,0,0,1,0
S2_H07_R1_PICT2645.JPG,10,1,0,0,0
S7_O06_R2_IMAG0371.JPG,10,1,0,0,0
S2_E02_R5_PICT0559.JPG,9,0,0,1,0
S7_E09_R3_IMAG0758.JPG,16,0,0,1,0
S6_S13_R1_IMAG2154.JPG,16,0,0,1,0
S6_E04_R1_IMAG0322.JPG,12,1,0,0,0
S9_P05_R3_IMAG0886.JPG,18,0,0,1,0
S4_F08_R2_IMAG0138.JPG,16,0,0,1,0
S8_E09_R3_IMAG3613.JPG,17,1,0,0,0
S6_D06_R1_IMAG0491.JPG,13,0,0,1,0
S1_N04_R1_PICT1438.JPG,20,0,0,1,0
S10_C04_R1_IMAG0158.JPG,13,1,0,0,0
S2_V11_R2_PICT0041.JPG,10,1,0,0,0
S2_G06_R1_PICT0029.JPG,1,0,0,1,0
S7_L06_R3_IMAG0086.JPG,11,1,0,0,0
S5_H05_R3_IMAG0701.JPG,2,0,0,1,0
S8_D04_R3_IMAG0069.JPG,20,1,0,0,0
S8_H01_R3_IMAG2015.JPG,19,0,0,1,0
S4_C13_R1_IMAG1186.JPG,19,1,0,0,0
S5_V10_R2_IMAG0154.JPG,17,0,0,1,0
S9_P13_R2_IMAG0055.JPG,2,0,0,1,0
S8_Q04_R3_IMAG3719.JPG,12,0,0,1,0
S2_O09_R1_IMAG0204.JPG,15,1,0,0,0
S2_H07_R1_PICT0056.JPG,9,1,0,0,0
S7_M05_R3_IMAG0196.JPG,7,0,0,1,0
SER_S11_P11_R2_IMAG1056.JPG,2,0,0,1,0
S7_D09_R3_IMAG1352.JPG,11,1,0,0,0
S3_C04_R11_IMAG0013.JPG,6,1,0,0,0
S2_H05_R1_IMAG1009.JPG,18,0,0,1,0
S10_D03_R1_IMAG1617.JPG,19,1,0,0,0
S1_K13_R1_PICT0234.JPG,18,0,0,1,0
S8_J13_R2_IMAG5728.JPG,16,0,0,1,0
S9_S11_R4_IMAG1969.JPG,20,0,0,1,0
